Grepit test;Number of results;Used args for grep;Regex used;Grepit comment;
3_backdoor_zwsp;431;-i;\x{200B};The example is '/ZWSP*', where ZWSP='U+200B, Zero Width Space', it's an invisible character so you won't see it below, because in code it might be invisible but between // or /* it might deactivate a comment;
5_cryptocred_ciphers_RSA;2621;-i;RSA;RSA cipher. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_aqab;47;-i;AQAB;RSA cipher in practice the most common exponent e is 65537, in base64 this is AQAB. Security depends heavily on usage and what is secured. https://www.johndcook.com/blog/2018/12/12/rsa-exponent/;
5_cryptocred_ciphers_rc2;2159;-i;RC2;RC2 cipher. Security depends heavily on usage and what is secured.;
5_cryptocred_ciphers_rc4;359;;RC4;RC4 cipher. Security depends heavily on usage and what is secured.;
5_cryptocred_ciphers_md2;647;;MD2;MD2. Security depends heavily on usage and what is secured.;
5_cryptocred_ciphers_md5_wide;407;;MD5;MD5. Security depends heavily on usage and what is secured.;
3_cryptocred_ciphers_md5_narrow;23;;[^a-zA-Z0-9]MD5[^a-zA-Z0-9];MD5. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_hmac;23;-i;HMAC;HMAC. Security depends heavily on usage and what is secured.;
4_cryptocred_ciphers_ntlm;23;;NTLM;NTLM. Security depends heavily on usage and what is secured.;
3_cryptocred_mysql_old_hashes;17;;[0-7][0-9a-f]{7}[0-7][0-9a-f]{7};MySQL old style hash;
2_general_html_templating;671;;<%=;A generic templating pattern that is used in HTML generation of Java (JSP), Ruby and client-side JavaScript libraries.;
2_cryptocred_sign_key;11;-i;sign.{0,20}key;Signing key and variants of it;
5_general_exec_wide;29;;exec;Exec mostly means executing on OS.;
5_cryptocred_pw_capitalcase;863;;PW.?=;PW abbrevation for password;
5_cryptocred_pwd_uppercase;503;;PWD;PWD abbrevation for password;
5_cryptocred_pwd_lowercase;431;;pwd;pwd abbrevation for password;
5_cryptocred_pwd_capitalcase;503;;Pwd;Pwd abbrevation for password;
5_general_chgrp;23;-i;chgrp;chgrp: Change group command;
5_cryptocred_secret_wide;35;-i;se?3?cre?3?t;Secret and variants of it;
5_general_relative_paths;3171;-i;\./;Relative paths. May allow an attacker to put something early in the search path (if parts are user supplied input) and overwrite behavior;
5_general_bug_uppercase;551;;BUG;BUG, unfinished, buggy and insecure things?;
5_general_xxx_uppercase;479;;XXX;XXX, unfinished, buggy and insecure things?;
5_general_fake;23;-i;fake;Fake. Sounds suspicious.;
2_general_uris_auth_info_wide;3043;-i;[^ @\:/]{1,20}:[^ @\:/]{1,20}@;URIs with authentication information specified as username:password@example.org;
5_general_ssti_double_braces_wide;23;-i;\{\{.{0,200}\}\};Server-Side Template Injection (SSTI) is a possibility at many places https://portswigger.net/web-security/server-side-template-injection;
4_general_xss_uppercase;599;;XSS;XSS. Sometimes refered in comments or variable names for code that should prevent it. If you find something interesting that is used for prevention in a framework, you might want to add another grep for that in this script.;
4_general_xss_regularcase;629;;Xss;XSS. Sometimes refered in comments or variable names for code that should prevent it. If you find something interesting that is used for prevention in a framework, you might want to add another grep for that in this script.;
4_general_xss_lowercase;455;;xss;XSS. Sometimes refered in comments or variable names for code that should prevent it. If you find something interesting that is used for prevention in a framework, you might want to add another grep for that in this script.;
4_general_hacking_techniques_csrf_regularcase;23;;[cC]srf;XSRF/CSRF and variants of it. Sometimes refered in comments or variable names for code that should prevent it. If you find something interesting that is used for prevention in a framework, you might want to add another grep for that in this script.;
5_general_base64_content;17;;(?:[A-Za-z0-9+/]{4}){2,}(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=);Base64 encoded data (that is more than 6 bytes long). This regex won't detect a base64 encoded value over several lines and won't detect one that does not end with an equal sign...;
4_general_base64_content_start_no_alphabet;3036;;[^A-Za-z0-9+/](?:[A-Za-z0-9_-]{4})+(?:[A-Za-z0-9_-]{2}==|[A-Za-z0-9_-]{3}=|[A-Za-z0-9_-]{4});Base64 encoded data (that is more than 6 bytes long and starts with something else). This regex won't detect a base64 encoded value over several lines and won't detect one that does not end with an equal sign...;
5_general_base64_urlsafe;15;;(?:[A-Za-z0-9_-]{4}){2,}(?:[A-Za-z0-9_-]{2}==|[A-Za-z0-9_-]{3}=);Base64 URL-safe encoded data (that is more than 6 bytes long). To get from URL-safe base64 to regular base64 you need .replace('-','+').replace('_','/'). This regex won't detect a base64 encoded value over several lines and won't detect one that does not end with an equal sign...;
4_general_base64_urlsafe_no_alphabet;3024;;[^A-Za-z0-9_-](?:[A-Za-z0-9_-]{4})+(?:[A-Za-z0-9_-]{2}==|[A-Za-z0-9_-]{3}=|[A-Za-z0-9_-]{4});Base64 URL-safe encoded data (that is more than 6 bytes long and starts with something else). To get from URL-safe base64 to regular base64 you need .replace('-','+').replace('_','/'). This regex won't detect a base64 encoded value over several lines and won't detect one that does not end with an equal sign...;
5_general_swear_shit;23;-i;shit;Shit and bullshit: Swear words are often used when things don't work as intended by the developer.;
4_general_swear_crap;23;-i;crap;Crap: Swear words are often used when things don't work as intended by the developer.;
4_java_serialization-base64serialized-data;575;;rO0;Java serialized data? Usually Java serialized data in base64 format starts with rO0 or non-base64 with hex ACED0005. Deserialization is something that can result in remote command execution, there are various exploits for such things, see http://foxglovesecurity.com/2015/11/06/what-do-weblogic-websphere-jboss-jenkins-opennms-and-your-application-have-in-common-this-vulnerability/ and https://github.com/mbechler/marshalsec for example;
4_java_serialization-serialized-data;0;;\\xAC\\xED\\x00\\x05;Java serialized data? Usually Java serialized data in base64 format starts with rO0 or non-base64 with hex ACED0005. Decidezation is something that can result in remote command execution, there are various exploits for such things, see http://foxglovesecurity.com/2015/11/06/what-do-weblogic-websphere-jboss-jenkins-opennms-and-your-application-have-in-common-this-vulnerability/ and https://github.com/mbechler/marshalsec for example;
5_malware_drug;23;-i;drug;Drug;
2_js_insecure_JSON_parser;2;;Eaeflnr-u;RFC 4627 includes a parser regex example http://www.ietf.org/rfc/rfc4627.txt and it is insecure as explained in the 'the tangled web' book, as it allows incrementing and decrementing of certain variables.;
